date,close
2020-07-13,102.51
2020-07-14,97.98
2020-07-15,93.02
2020-07-16,87.32
2020-07-17,86.73
2020-07-20,92.06
2020-07-21,93.0
2020-07-22,93.5
2020-07-23,96.61
2020-07-24,88.38
2020-07-27,84.28
2020-07-28,87.74
2020-07-29,91.44
2020-07-30,92.09
2020-07-31,95.88
2020-08-03,97.78
2020-08-04,95.05
2020-08-05,94.86
2020-08-06,95.5
2020-08-07,91.5
2020-08-10,89.49
2020-08-11,88.24
2020-08-12,86.74
2020-08-13,86.89
2020-08-14,89.32
2020-08-17,87.24
2020-08-18,88.71
2020-08-19,83.66
2020-08-20,82.68
2020-08-21,84.8
2020-08-24,90.23
2020-08-25,89.07
2020-08-26,86.0
2020-08-27,91.86
2020-08-28,93.73
2020-08-31,92.64
2020-09-01,97.03
2020-09-02,95.4
2020-09-03,94.61
2020-09-04,91.48
2020-09-07,81.56
2020-09-08,81.84
2020-09-09,80.4
2020-09-10,80.76
2020-09-11,82.06
2020-09-14,85.1
2020-09-15,86.17
2020-09-16,84.81
2020-09-17,88.23
2020-09-18,88.02
2020-09-21,87.96
2020-09-22,89.39
2020-09-23,87.45
2020-09-24,84.01
2020-09-25,84.39
2020-09-28,85.18
2020-09-29,91.89
2020-09-30,94.23
2020-10-09,102.93
2020-10-12,108.44
2020-10-13,108.93
2020-10-14,109.84
2020-10-15,110.56
2020-10-16,104.73
2020-10-19,105.45
2020-10-20,112.23
2020-10-21,107.08
2020-10-22,106.83
2020-10-23,103.0
2020-10-26,107.53
2020-10-27,109.79
2020-10-28,111.48
2020-10-29,111.34
2020-10-30,115.32
2020-11-02,122.53
2020-11-03,120.24
2020-11-04,119.98
2020-11-05,127.17
2020-11-06,124.39
2020-11-09,126.02
2020-11-10,125.74
2020-11-11,117.36
2020-11-12,119.25
2020-11-13,118.68
2020-11-16,119.61
2020-11-17,117.27
2020-11-18,111.61
2020-11-19,112.5
2020-11-20,118.05
2020-11-23,118.56
2020-11-24,119.5
2020-11-25,114.79
2020-11-26,114.3
2020-11-27,112.45
2020-11-30,112.89
2020-12-01,114.76
2020-12-02,113.39
2020-12-03,114.66
2020-12-04,116.74
2020-12-07,123.26
2020-12-08,125.8
2020-12-09,125.78
2020-12-10,125.13
2020-12-11,126.09
2020-12-14,125.78
2020-12-15,132.73
2020-12-16,136.93
2020-12-17,136.23
2020-12-18,139.11
2020-12-21,158.56
2020-12-22,152.25
2020-12-23,154.67
2020-12-24,150.78
2020-12-25,151.78
2020-12-28,153.99
2020-12-29,149.11
2020-12-30,166.89
2020-12-31,173.06
2021-01-04,202.5
2021-01-05,201.34
2021-01-06,203.99
2021-01-07,207.58
2021-01-08,202.73
2021-01-11,194.67
2021-01-12,200.88
2021-01-13,191.89
2021-01-14,183.01
2021-01-15,189.42
2021-01-18,191.28
2021-01-19,181.4
2021-01-20,195.45
2021-01-21,195.39
2021-01-22,204.67
2021-01-25,198.53
2021-01-26,192.17
2021-01-27,194.96
2021-01-28,183.5
2021-01-29,174.73
2021-02-01,172.63
2021-02-02,182.34
2021-02-03,189.66
2021-02-04,193.84
2021-02-05,185.48
2021-02-08,202.45
2021-02-09,205.89
2021-02-10,207.26
2021-02-18,198.56
2021-02-19,193.28
2021-02-22,186.34
2021-02-23,187.19
2021-02-24,170.78
2021-02-25,165.28
2021-02-26,157.02
2021-03-01,169.45
2021-03-02,172.23
2021-03-03,172.24
2021-03-04,158.88
2021-03-05,155.78
2021-03-08,147.45
2021-03-09,144.67
2021-03-10,152.73
2021-03-11,162.05
2021-03-12,167.7
2021-03-15,151.5
2021-03-16,157.45
2021-03-17,163.0
2021-03-18,164.56
2021-03-19,153.84
2021-03-22,149.0
2021-03-23,146.84
2021-03-24,138.44
2021-03-25,139.98
2021-03-26,152.24
2021-03-29,151.11
2021-03-30,155.21
2021-03-31,156.99
2021-04-01,161.33
2021-04-02,162.67
2021-04-06,159.0
2021-04-07,155.78
2021-04-08,155.7
2021-04-09,151.34
2021-04-12,153.01
2021-04-13,158.43
2021-04-14,170.23
2021-04-15,165.23
2021-04-16,163.47
2021-04-19,180.23
2021-04-20,177.45
2021-04-21,175.61
2021-04-22,179.31
2021-04-23,184.39
2021-04-26,171.89
2021-04-27,171.67
2021-04-28,181.91
